Ticker,Name,Sector_ID,Sector,Industry_Group_ID,Industry_Group,Industry_ID,Industry,Sub_Industry_ID,Sub_Industry
A,Agilent Technologies,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352030,Life Sciences Tools & Services,35203010,Life Sciences Tools & Services
BIO,Bio-Rad Laboratories,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352030,Life Sciences Tools & Services,35203010,Life Sciences Tools & Services
CRL,Charles River Laboratories,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352030,Life Sciences Tools & Services,35203010,Life Sciences Tools & Services
DHR,Danaher Corporation,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352030,Life Sciences Tools & Services,35203010,Life Sciences Tools & Services
AAL,American Airlines Group,20,Industrials,2030,Transportation,203020,Passenger Airlines,20302010,Passenger Airlines
DAL,Delta Air Lines,20,Industrials,2030,Transportation,203020,Passenger Airlines,20302010,Passenger Airlines
BKR,Baker Hughes,10,Energy,1010,Energy,101010,Energy Equipment & Services,10101020,Oil & Gas Equipment & Services
AAPL,Apple Inc.,45,Information Technology,4520,Technology Hardware & Equipment,452020,"Technology Hardware, Storage & Peripherals",45202030,"Technology Hardware, Storage & Peripherals"
CVX,Chevron Corporation,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102010,Integrated Oil & Gas
ABBV,AbbVie,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352010,Biotechnology,35201010,Biotechnology
AMGN,Amgen,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352010,Biotechnology,35201010,Biotechnology
BIIB,Biogen,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352010,Biotechnology,35201010,Biotechnology
APA,APA Corporation,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production
COP,ConocoPhillips,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production
CTRA,Coterra,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production
DVN,Devon Energy,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production
ABNB,Airbnb,25,Consumer Discretionary,2530,Consumer Services,253010,"Hotels, Restaurants & Leisure",25301020,"Hotels, Resorts & Cruise Lines"
BKNG,Booking Holdings,25,Consumer Discretionary,2530,Consumer Services,253010,"Hotels, Restaurants & Leisure",25301020,"Hotels, Resorts & Cruise Lines"
CCL,Carnival,25,Consumer Discretionary,2530,Consumer Services,253010,"Hotels, Restaurants & Leisure",25301020,"Hotels, Resorts & Cruise Lines"
ABT,Abbott Laboratories,35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment
BAX,Baxter International,35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment
BDX,Becton Dickinson,35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment
BSX,Boston Scientific,35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment
DXCM,Dexcom,35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment
ACGL,Arch Capital Group,40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance
ALL,Allstate,40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance
CB,Chubb Limited,40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance
CINF,Cincinnati Financial,40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance
ACN,Accenture,45,Information Technology,4510,Software & Services,451020,IT Services,45102010,IT Consulting & Other Services
CTSH,Cognizant,45,Information Technology,4510,Software & Services,451020,IT Services,45102010,IT Consulting & Other Services
DOW,Dow Inc.,15,Materials,1510,Materials,151010,Chemicals,15101010,Commodity Chemicals
ADBE,Adobe Inc.,45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software
ADSK,Autodesk,45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software
ANSS,Ansys,45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software
CDNS,Cadence Design Systems,45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software
CRM,Salesforce,45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software
ADI,Analog Devices,45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductors & Semiconductor Equipment,45301020,Semiconductors
AMD,Advanced Micro Devices,45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductors & Semiconductor Equipment,45301020,Semiconductors
AVGO,Broadcom,45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductors & Semiconductor Equipment,45301020,Semiconductors
CF,CF Industries,15,Materials,1510,Materials,151010,Chemicals,15101030,Fertilizers & Agricultural Chemicals
CTVA,Corteva,15,Materials,1510,Materials,151010,Chemicals,15101030,Fertilizers & Agricultural Chemicals
ADM,Archer Daniels Midland,30,Consumer Staples,3020,"Food, Beverage & Tobacco",302020,Food Products,30202010,Agricultural Products & Services
BG,Bunge Global,30,Consumer Staples,3020,"Food, Beverage & Tobacco",302020,Food Products,30202010,Agricultural Products & Services
APD,Air Products,15,Materials,1510,Materials,151010,Chemicals,15101040,Industrial Gases
ADP,Automatic Data Processing,20,Industrials,2020,Commercial & Professional Services,202020,Professional Services,20202010,Human Resource & Employment Services
DAY,Dayforce,20,Industrials,2020,Commercial & Professional Services,202020,Professional Services,20202010,Human Resource & Employment Services
ALB,Albemarle Corporation,15,Materials,1510,Materials,151010,Chemicals,15101050,Specialty Chemicals
CE,Celanese,15,Materials,1510,Materials,151010,Chemicals,15101050,Specialty Chemicals
DD,DuPont,15,Materials,1510,Materials,151010,Chemicals,15101050,Specialty Chemicals
ECL,Ecolab,15,Materials,1510,Materials,151010,Chemicals,15101050,Specialty Chemicals
EMN,Eastman Chemical Company,15,Materials,1510,Materials,151010,Chemicals,15101050,Specialty Chemicals
AEE,Ameren,55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities
CMS,CMS Energy,55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities
CNP,CenterPoint Energy,55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities
D,Dominion Energy,55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities
DTE,DTE Energy,55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities
ED,Consolidated Edison,55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities
BALL,Ball Corporation,15,Materials,1510,Materials,151030,Containers & Packaging,15103010,"Metal, Glass & Plastic Containers"
AEP,American Electric Power,55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities
CEG,Constellation Energy,55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities
DUK,Duke Energy,55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities
EIX,Edison International,55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities
AMCR,Amcor,15,Materials,1510,Materials,151030,Containers & Packaging,15103020,Paper & Plastic Packaging Products & Materials
AVY,Avery Dennison,15,Materials,1510,Materials,151030,Containers & Packaging,15103020,Paper & Plastic Packaging Products & Materials
AES,AES Corporation,55,Utilities,5510,Utilities,551050,Independent Power and Renewable Electricity Producers,55105010,Independent Power Producers & Energy Traders
AFL,Aflac,40,Financials,4030,Insurance,403010,Insurance,40301020,Life & Health Insurance
AIG,American International Group,40,Financials,4030,Insurance,403010,Insurance,40301030,Multi-line Insurance
AIZ,Assurant,40,Financials,4030,Insurance,403010,Insurance,40301030,Multi-line Insurance
AJG,Arthur J. Gallagher & Co.,40,Financials,4030,Insurance,403010,Insurance,40301010,Insurance Brokers
AON,Aon,40,Financials,4030,Insurance,403010,Insurance,40301010,Insurance Brokers
BRO,Brown & Brown,40,Financials,4030,Insurance,403010,Insurance,40301010,Insurance Brokers
AKAM,Akamai Technologies,45,Information Technology,4510,Software & Services,451020,IT Services,45102030,Internet Services & Infrastructure
ALGN,Align Technology,35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101020,Health Care Supplies
COO,Cooper Companies (The),35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101020,Health Care Supplies
ALLE,Allegion,20,Industrials,2010,Capital Goods,201020,Building Products,20102010,Building Products
AOS,A. O. Smith,20,Industrials,2010,Capital Goods,201020,Building Products,20102010,Building Products
BLDR,Builders FirstSource,20,Industrials,2010,Capital Goods,201020,Building Products,20102010,Building Products
CARR,Carrier Global,20,Industrials,2010,Capital Goods,201020,Building Products,20102010,Building Products
AXON,Axon Enterprise,20,Industrials,2010,Capital Goods,201010,Aerospace & Defense,20101010,Aerospace & Defense
BA,Boeing,20,Industrials,2010,Capital Goods,201010,Aerospace & Defense,20101010,Aerospace & Defense
AMAT,Applied Materials,45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductors & Semiconductor Equipment,45301010,Semiconductor Materials & Equipment
ENPH,Enphase,45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductors & Semiconductor Equipment,45301010,Semiconductor Materials & Equipment
AME,Ametek,20,Industrials,2010,Capital Goods,201040,Electrical Equipment,20104010,Electrical Components & Equipment
EMR,Emerson Electric,20,Industrials,2010,Capital Goods,201040,Electrical Equipment,20104010,Electrical Components & Equipment
AMP,Ameriprise Financial,40,Financials,4020,Financial Services,402030,Capital Markets,40203010,Asset Management & Custody Banks
BEN,Franklin Templeton,40,Financials,4020,Financial Services,402030,Capital Markets,40203010,Asset Management & Custody Banks
BK,BNY Mellon,40,Financials,4020,Financial Services,402030,Capital Markets,40203010,Asset Management & Custody Banks
BLK,BlackRock,40,Financials,4020,Financial Services,402030,Capital Markets,40203010,Asset Management & Custody Banks
BX,Blackstone Inc.,40,Financials,4020,Financial Services,402030,Capital Markets,40203010,Asset Management & Custody Banks
CAT,Caterpillar Inc.,20,Industrials,2010,Capital Goods,201060,Machinery,20106010,Construction Machinery & Heavy Transportation Equipment
CMI,Cummins,20,Industrials,2010,Capital Goods,201060,Machinery,20106010,Construction Machinery & Heavy Transportation Equipment
AMT,American Tower,60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs),601080,Specialized REITs,60108030,Telecom Tower REITs
CCI,Crown Castle,60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs),601080,Specialized REITs,60108030,Telecom Tower REITs
DE,Deere & Company,20,Industrials,2010,Capital Goods,201060,Machinery,20106015,Agricultural & Farm Machinery
AMZN,Amazon,25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail,255030,Broadline Retail,25503030,Broadline Retail
EBAY,eBay,25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail,255030,Broadline Retail,25503030,Broadline Retail
DOV,Dover Corporation,20,Industrials,2010,Capital Goods,201060,Machinery,20106020,Industrial Machinery & Supplies & Components
ANET,Arista Networks,45,Information Technology,4520,Technology Hardware & Equipment,452010,Communications Equipment,45201020,Communications Equipment
CSCO,Cisco,45,Information Technology,4520,Technology Hardware & Equipment,452010,Communications Equipment,45201020,Communications Equipment
CPRT,Copart,20,Industrials,2020,Commercial & Professional Services,202010,Commercial Services & Supplies,20201070,Diversified Support Services
CTAS,Cintas,20,Industrials,2020,Commercial & Professional Services,202010,Commercial Services & Supplies,20201070,Diversified Support Services
APH,Amphenol,45,Information Technology,4520,Technology Hardware & Equipment,452030,"Electronic Equipment, Instruments & Components",45203015,Electronic Components
APTV,Aptiv,25,Consumer Discretionary,2510,Automobiles & Components,251010,Automobile Components,25101010,Automotive Parts & Equipment
BWA,BorgWarner,25,Consumer Discretionary,2510,Automobiles & Components,251010,Automobile Components,25101010,Automotive Parts & Equipment
EFX,Equifax,20,Industrials,2020,Commercial & Professional Services,202020,Professional Services,20202020,Research & Consulting Services
ARE,Alexandria Real Estate Equities,60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs),601040,Office REITs,60104010,Office REITs
BXP,"BXP, Inc.",60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs),601040,Office REITs,60104010,Office REITs
BR,Broadridge Financial Solutions,20,Industrials,2020,Commercial & Professional Services,202020,Professional Services,20202030,Data Processing & Outsourced Services
ATO,Atmos Energy,55,Utilities,5510,Utilities,551020,Gas Utilities,55102010,Gas Utilities
CHRW,C.H. Robinson,20,Industrials,2030,Transportation,203010,Air Freight & Logistics,20301010,Air Freight & Logistics
AVB,AvalonBay Communities,60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs),601060,Residential REITs,60106010,Multi-Family Residential REITs
CPT,Camden Property Trust,60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs),601060,Residential REITs,60106010,Multi-Family Residential REITs
CSX,CSX Corporation,20,Industrials,2030,Transportation,203040,Ground Transportation,20304010,Rail Transportation
AWK,American Water Works,55,Utilities,5510,Utilities,551040,Water Utilities,55104010,Water Utilities
AXP,American Express,40,Financials,4020,Financial Services,402020,Consumer Finance,40202010,Consumer Finance
COF,Capital One,40,Financials,4020,Financial Services,402020,Consumer Finance,40202010,Consumer Finance
DFS,Discover Financial,40,Financials,4020,Financial Services,402020,Consumer Finance,40202010,Consumer Finance
AZO,AutoZone,25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail,255040,Specialty Retail,25504050,Automotive Retail
BAC,Bank of America,40,Financials,4010,Banks,401010,Banks,40101010,Diversified Banks
C,Citigroup,40,Financials,4010,Banks,401010,Banks,40101010,Diversified Banks
BBWI,"Bath & Body Works, Inc.",25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail,255040,Specialty Retail,25504040,Other Specialty Retail
BBY,Best Buy,25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail,255040,Specialty Retail,25504020,Computer & Electronics Retail
DHI,DR Horton,25,Consumer Discretionary,2520,Consumer Durables & Apparel,252010,Household Durables,25201030,Homebuilding
BF.B,Brown–Forman,30,Consumer Staples,3020,"Food, Beverage & Tobacco",302010,Beverages,30201020,Distillers & Vintners
DECK,Deckers Brands,25,Consumer Discretionary,2520,Consumer Durables & Apparel,252030,"Textiles, Apparel & Luxury Goods",25203020,Footwear
CZR,Caesars Entertainment,25,Consumer Discretionary,2530,Consumer Services,253010,"Hotels, Restaurants & Leisure",25301010,Casinos & Gaming
BMY,Bristol Myers Squibb,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352020,Pharmaceuticals,35202010,Pharmaceuticals
CTLT,Catalent,35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352020,Pharmaceuticals,35202010,Pharmaceuticals
CMG,Chipotle Mexican Grill,25,Consumer Discretionary,2530,Consumer Services,253010,"Hotels, Restaurants & Leisure",25301040,Restaurants
DPZ,Domino's,25,Consumer Discretionary,2530,Consumer Services,253010,"Hotels, Restaurants & Leisure",25301040,Restaurants
DRI,Darden Restaurants,25,Consumer Discretionary,2530,Consumer Services,253010,"Hotels, Restaurants & Leisure",25301040,Restaurants
BRK.B,Berkshire Hathaway,40,Financials,4020,Financial Services,402010,Financial Services,40201030,Multi-Sector Holdings
CAG,Conagra Brands,30,Consumer Staples,3020,"Food, Beverage & Tobacco",302020,Food Products,30202030,Packaged Foods & Meats
CPB,Campbell Soup Company,30,Consumer Staples,3020,"Food, Beverage & Tobacco",302020,Food Products,30202030,Packaged Foods & Meats
CAH,Cardinal Health,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102010,Health Care Distributors
COR,Cencora,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102010,Health Care Distributors
CBOE,Cboe Global Markets,40,Financials,4020,Financial Services,402030,Capital Markets,40203040,Financial Exchanges & Data
CME,CME Group,40,Financials,4020,Financial Services,402030,Capital Markets,40203040,Financial Exchanges & Data
COST,Costco,30,Consumer Staples,3010,Consumer Staples Distribution & Retail,301010,Consumer Staples Distribution & Retail,30101040,Consumer Staples Merchandise Retail
DG,Dollar General,30,Consumer Staples,3010,Consumer Staples Distribution & Retail,301010,Consumer Staples Distribution & Retail,30101040,Consumer Staples Merchandise Retail
DLTR,Dollar Tree,30,Consumer Staples,3010,Consumer Staples Distribution & Retail,301010,Consumer Staples Distribution & Retail,30101040,Consumer Staples Merchandise Retail
CBRE,CBRE Group,60,Real Estate,6020,Real Estate Management & Development,602010,Real Estate Management & Development,60201040,Real Estate Services
CSGP,CoStar Group,60,Real Estate,6020,Real Estate Management & Development,602010,Real Estate Management & Development,60201040,Real Estate Services
CDW,CDW,45,Information Technology,4520,Technology Hardware & Equipment,452030,"Electronic Equipment, Instruments & Components",45203030,Technology Distributors
CHD,Church & Dwight,30,Consumer Staples,3030,Household & Personal Products,303010,Household Products,30301010,Household Products
CL,Colgate-Palmolive,30,Consumer Staples,3030,Household & Personal Products,303010,Household Products,30301010,Household Products
CLX,Clorox,30,Consumer Staples,3030,Household & Personal Products,303010,Household Products,30301010,Household Products
EL,Estée Lauder Companies (The),30,Consumer Staples,3030,Household & Personal Products,303020,Personal Care Products,30302010,Personal Care Products
CFG,Citizens Financial Group,40,Financials,4010,Banks,401010,Banks,40101015,Regional Banks
CHTR,Charter Communications,50,Communication Services,5020,Media & Entertainment,502010,Media,50201030,Cable & Satellite
CMCSA,Comcast,50,Communication Services,5020,Media & Entertainment,502010,Media,50201030,Cable & Satellite
CI,Cigna,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102015,Health Care Services
CVS,CVS Health,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102015,Health Care Services
DGX,Quest Diagnostics,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102015,Health Care Services
DVA,DaVita,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102015,Health Care Services
CNC,Centene Corporation,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102030,Managed Health Care
ELV,Elevance Health,35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102030,Managed Health Care
CPAY,Corpay,40,Financials,4020,Financial Services,402010,Financial Services,40201060,Transaction & Payment Processing Services
CRWD,CrowdStrike,45,Information Technology,4510,Software & Services,451030,Software,45103020,Systems Software
EG,Everest Group,40,Financials,4030,Insurance,403010,Insurance,40301050,Reinsurance
DIS,Walt Disney Company (The),50,Communication Services,5020,Media & Entertainment,502020,Entertainment,50202010,Movies & Entertainment
EA,Electronic Arts,50,Communication Services,5020,Media & Entertainment,502020,Entertainment,50202020,Interactive Home Entertainment
DLR,Digital Realty,60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs),601080,Specialized REITs,60108050,Data Center REITs
DOC,Healthpeak Properties,60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs),601050,Health Care REITs,60105010,Health Care REITs
EOG,EOG Resources,10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production
EPAM,EPAM Systems,45,Information Technology,4510,Software & Services,451020,IT Services,45102010,IT Consulting & Other Services
EQIX,Equinix,60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs),601080,Specialized REITs,60108050,Data Center REITs
EQR,Equity Residential,60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs),601060,Residential REITs,60106010,Multi-Family Residential REITs
